id,name,description
0,T딜,"T딜은 SK텔레콤이 운영하는 고객 맞춤형 커머스 플랫폼으로, 문자 메시지를 통해 상품 정보를 제공하고 구매를 유도한다."
12,이프랜드,"SK텔레콤의 메타버스 플랫폼으로, 누구나 쉽게 방을 만들고 친구를 초대할 수 있으며, 다양한 모임을 가질 수 있다."
18,HBM,"고대역폭 메모리로, 데이터 처리 속도가 빠르고 전력 소모가 적어 인공지능(AI), 빅데이터 등 고성능 컴퓨팅에 사용된다."
20,반도체,"정보를 저장하거나 처리하는 데 사용되는 전자 부품으로, 삼성전자는 세계적인 반도체 제조 기업이다."
23,S-A2,S-A2는 현대자동차그룹 슈퍼널에서 개발 중인 전기 수직 이착륙 항공기(eVTOL) 기체이다.
35,크레타,"현대자동차의 소형 SUV 모델로, 인도 시장에서 큰 인기를 끌고 있다."
38,스마트싱스,"스마트싱스는 삼성전자의 사물인터넷 플랫폼으로, 다양한 기기를 연결하여 제어할 수 있다."
40,파워월,"파워월은 테슬라의 가정용 에너지 저장장치로, 전기를 저장하고 필요할 때 사용할 수 있다."
42,스마트폰,"스마트폰은 휴대전화와 컴퓨터의 기능을 결합한 기기로, 인터넷 검색, 이메일 전송, 사진 촬영 등 다양한 기능을 제공한다."
52,가전 구독 서비스,"일정 기간 동안 월정액을 내고 가전제품을 이용하는 서비스로, 제품 관리와 수리 등의 서비스도 함께 제공된다."
59,보험,보험은 위험을 대비하기 위해 다수의 사람들이 함께 자금을 모아 준비하는 금융 제도이다.
71,하이퍼클로바X,"네이버가 개발한 초대규모 인공지능으로, 자연어 처리, 이미지 인식, 음성 인식 등 다양한 분야에서 활용할 수 있다."
73,휴머노이드,"휴머노이드는 인간의 신체와 유사한 형태를 가진 로봇으로, 인공지능 기술을 활용하여 인간과 상호작용할 수 있다."
85,도심항공모빌리티,도심항공모빌리티(UAM)는 수직 이착륙이 가능한 기체를 이용하여 도심에서 이동하는 새로운 교통수단이다.
87,로켓와우,"쿠팡의 멤버십 서비스로, 월 4,990원의 이용료로 무료 로켓배송, 무료 반품, OTT 서비스 등 다양한 혜택을 제공한다."
88,네이버플러스,"네이버의 멤버십 서비스로, 월 4,900원의 이용료로 네이버페이 적립 혜택, 디지털 서비스 이용 등 다양한 혜택을 제공한다."
89,스마일클럽,"신세계의 멤버십 서비스로, 월 3,900원의 이용료로 SSG닷컴, G마켓, 옥션의 할인 및 적립 혜택, 오프라인 관계사 혜택을 제공한다."
