id,name,description
1,현대자동차,"현대자동차는 대한민국의 자동차 제조 기업으로, 다양한 차종과 기술을 개발하고 있다."
2,기아,"기아는 현대자동차그룹의 계열사로 다양한 차종을 생산, 판매하고 있다."
3,SSG닷컴,"SSG닷컴은 신세계그룹의 e커머스 플랫폼으로, 온라인 쇼핑과 배송 서비스를 제공하고 있다."
4,쿠팡,"쿠팡은 대한민국의 온라인 쇼핑몰로, 빠른 배송과 다양한 상품을 제공하며 시장 점유율을 높이고 있다."
5,G마켓,"G마켓은 대한민국의 온라인 쇼핑몰로, 다양한 상품과 서비스를 제공하고 있다."
6,11번가,"11번가는 SK그룹의 e커머스 플랫폼으로, 온라인 쇼핑과 배송 서비스를 제공하고 있다."
7,롯데온,"롯데온은 롯데그룹의 e커머스 플랫폼으로, 온라인 쇼핑과 배송 서비스를 제공하고 있다."
8,삼성전자,"삼성전자는 스마트폰, TV, 컴퓨터 등 다양한 전자 제품을 생산하는 세계적인 기업이다."
9,구글,"구글은 검색 엔진, 안드로이드 운영체제 등을 개발한 미국의 IT 기업이다."
10,메타,"메타는 페이스북의 새로운 이름으로, 소셜 미디어와 VR 기기 등을 개발하고 있다."
11,SK텔레콤,"대한민국의 이동통신사로, 통신 서비스 및 IT 관련 서비스를 제공하고 있다."
14,KT알파,"KT그룹의 디지털 콘텐츠 전문 기업으로, 영화, 방송, 음악 등 다양한 콘텐츠를 유통하고 있다."
15,쿠팡플레이,"쿠팡의 OTT 서비스로, 영화, 드라마, 예능 등 다양한 콘텐츠를 제공하고 있다."
16,SKB PlayZ,"SK브로드밴드의 미디어 플랫폼으로, OTT와 스트리밍 채널, 게임 등을 즐길 수 있다."
17,SK하이닉스,"대한민국의 대표적인 반도체 기업으로, D램과 낸드 플래시 등 메모리 반도체를 생산하고 있다."
22,슈퍼널,"슈퍼널은 현대자동차그룹의 미래항공모빌리티(AAM) 독립법인으로, 전기 수직 이착륙 항공기(eVTOL)를 개발하고 있다."
24,네이버,"네이버는 대한민국의 IT 기업으로, 검색 엔진, 포털 사이트, 쇼핑, 웹툰 등 다양한 서비스를 제공하고 있다."
25,CJ대한통운,"CJ대한통운은 대한민국의 물류 기업으로, 택배, 운송, 항만 등 다양한 물류 서비스를 제공하고 있다."
27,LG유플러스,"LG유플러스는 대한민국의 이동통신사로, 5G 서비스와 다양한 모바일 서비스를 제공하고 있으며, 데이터 기반의 디지털 광고·커머스 분야 사업 경쟁력 강화에 나섰다."
29,네이버페이,"네이버페이는 네이버의 간편결제 서비스로, 다양한 금융 서비스를 제공하고 있다."
